#{"t_start": 1645362909.8629582, "env_id": null}
r,l,t
0.375389,60,0.729133
0.001477,78,1.80978
0.004554,16,2.370111
0.005348,19,2.938933
0.022547,19,3.509277
0.01667,20,4.071928
0.009887,24,4.663986
0.010358,31,5.28432
0.013122,31,5.9167
0.005931,21,6.500623
0.002289,23,7.100633
0.01617,20,7.653785
0.008086,27,8.266153
0.006128,16,8.796679
0.004026,25,9.366025
0.007931,21,9.956044
0.00507,17,10.507812
0.012391,19,11.055295
0.003759,19,11.596516
0.010153,28,12.19837
0.00777,20,12.769677
0.006459,16,13.292347
0.010616,22,13.873965
0.003003,16,14.421136
0.005163,18,14.952084
0.002254,26,15.553951
0.00395,17,16.074706
0.002013,32,16.737822
0.005023,23,17.322182
0.012386,19,17.871418
0.003955,18,18.422543
0.016152,20,18.986245
0.008624,19,19.53723
0.004342,27,20.157663
0.006688,19,20.729074
0.009191,23,21.313155
0.010956,19,21.8646
0.009611,19,22.424275
0.00785,43,23.120309
0.030505,40,23.803412
0.012576,19,24.37486
0.00407,23,24.954712
0.006005,35,25.586851
0.009972,29,26.199359
0.001498,43,26.913433
0.006127,22,27.497779
0.007538,34,28.151098
0.005232,34,28.803442
0.003414,23,29.395752
0.023447,33,30.038903
0.012771,35,30.691879
0.020577,42,31.383069
0.008656,31,31.985492
0.013765,37,32.648695
0.055158,34,33.272792
0.015949,31,33.913498
0.006876,56,34.702919
0.028073,29,35.315031
0.014488,21,35.858278
0.003663,25,36.469069
0.007993,21,37.030377
0.011024,45,37.723611
0.004448,26,38.327516
0.033641,22,38.878602
0.013781,36,39.529591
0.038398,19,40.093446
0.019091,33,40.733948
0.010986,25,41.335795
0.018357,24,41.907451
0.011966,30,42.509315
0.031204,28,43.123988
0.02496,30,43.756561
0.020431,45,44.480814
0.014654,30,45.12374
0.016519,29,45.74461
0.026544,34,46.409939
0.006487,33,47.073456
0.001841,53,47.838414
0.015241,26,48.440713
0.009395,49,49.185015
0.005327,44,49.894375
0.010525,48,50.620583
0.000686,73,51.630422
0.009179,22,52.250932
0.00652,37,52.955341
0.0,120,54.147125
0.005636,27,54.81168
0.020572,29,55.44588
0.003283,34,56.147982
0.067726,52,56.914939
0.00043,88,57.998529
0.00238,38,58.75615
0.030809,40,59.439816
0.062932,34,60.08228
0.024822,49,60.878088
0.026242,42,61.630877
0.003348,38,62.362552
0.006824,52,63.147882
0.00605,47,63.892723
0.005148,39,64.566483
0.017474,30,65.189188
0.029232,43,65.884736
0.002043,49,66.639699
0.011744,34,67.313072
0.008919,29,67.954191
0.003652,29,68.599469
0.002618,42,69.333557
0.001206,38,70.076505
0.008881,31,70.74001
0.0,104,71.873258
0.007066,17,72.455469
0.001013,48,73.251771
0.006203,20,73.864354
0.009617,31,74.537561
0.0,61,75.373963
0.001153,27,76.058085
0.002957,38,76.70894
0.003838,29,77.341782
0.002726,20,77.925489
0.003559,39,78.627608
0.001594,39,79.313101
0.010385,33,79.965504
0.001104,47,80.710655
0.008997,21,81.280388
0.00529,21,81.841624
0.005115,19,82.415226
0.00149,22,83.007299
0.00822,35,83.657943
0.00701,27,84.262006
0.003326,20,84.852201
0.003679,26,85.46495
0.001284,33,86.130815
0.002092,39,86.811874
0.002462,40,87.484462
0.004402,27,88.08817
0.007121,20,88.659356
0.002357,14,89.190116
0.002737,15,89.720804
0.003743,15,90.249418
0.007361,21,90.810915
0.006327,18,91.360306
0.005578,16,91.911889
0.012069,28,92.521343
0.004762,16,93.044279
0.003047,16,93.584672
0.006833,17,94.125755
0.003512,18,94.676707
0.004007,16,95.217567
0.010931,16,95.756113
0.008514,20,96.319369
0.004478,16,96.86817
0.004748,16,97.411039
0.014544,20,97.980252
0.001894,16,98.512981
0.009919,20,99.058892
0.003779,20,99.641042
0.009407,16,100.169773
0.003806,14,100.679857
0.004299,16,101.230552
0.011385,20,101.79161
0.007788,16,102.330496
0.00656,20,102.887869
0.007695,18,103.421494
0.006808,18,103.980548
0.006509,21,104.551953
0.003446,18,105.104652
0.002438,18,105.666384
0.006945,24,106.256152
0.003769,15,106.798821
0.002918,19,107.350113
0.006233,17,107.891213
0.008146,20,108.462401
0.004329,19,109.02342
0.013289,22,109.553981
0.002947,16,110.105309
0.007908,20,110.666723
0.006112,15,111.207725
0.004695,16,111.738483
0.004967,17,112.289364
0.0043,19,112.848116
0.014581,21,113.421523
0.020582,17,113.942101
0.004257,16,114.481033
0.006919,15,114.990998
0.002404,17,115.521151
0.010404,19,116.092252
0.004403,16,116.622936
0.007958,20,117.186117
0.005697,17,117.737216
0.004525,20,118.306847
0.00526,15,118.829295
