#{"t_start": 1645384261.9910586, "env_id": null}
r,l,t
0.641121,77,0.645519
2.406184,88,1.586888
0.023842,18,2.178821
0.048051,21,2.46029
0.105456,24,2.82056
0.024972,21,3.456645
0.190663,24,3.758052
7.014343,45,4.161011
0.003571,14,4.542287
0.004319,14,5.103638
0.007923,15,5.335186
0.130755,25,5.60942
0.023477,17,5.932049
0.067747,23,6.555826
0.162593,27,6.884072
0.174288,25,7.211297
0.142798,27,7.552137
0.235965,25,8.24648
5.145831,43,8.649027
9.476812,157,9.493138
19.004842,133,10.76213
0.998395,45,12.221846
10.652868,80,12.826181
11.986282,118,13.721028
8.721855,140,14.818707
25.847014,77,16.268424
0.189918,29,16.831037
0.098013,26,17.193129
0.115652,27,17.522835
0.08472,27,18.431688
0.203551,29,18.770855
0.492096,31,19.125324
2.037603,49,19.553558
0.136666,26,20.491037
0.344437,39,20.887366
0.991679,37,21.33026
0.620364,37,21.762726
0.109539,23,22.660101
0.255162,31,23.004968
0.135084,26,23.351963
0.19975,31,23.713414
0.186107,26,24.430043
2.69007,46,24.832472
0.067767,23,25.234903
0.149501,25,25.546714
0.139804,24,26.217594
0.369482,26,26.519197
0.056653,22,26.820655
0.319347,29,27.132087
0.076309,23,27.843048
0.138355,25,28.153708
0.195357,26,28.480828
0.127491,25,28.814082
0.038886,22,29.452018
0.046326,22,29.759515
0.089864,23,30.085287
0.127475,26,30.407072
4.935465,48,31.152799
0.24829,27,31.570723
0.868595,35,31.946959
1.379346,44,32.397188
0.160948,30,33.185273
2.970695,46,33.608033
13.149111,64,34.16134
0.715358,33,34.674153
0.040316,26,35.508923
0.921046,35,35.862944
0.051407,24,36.22847
0.151167,28,36.564116
0.068898,23,37.246393
0.112791,25,37.578767
0.037464,22,37.894622
51.273424,76,38.376685
0.027693,18,39.252833
0.199829,25,39.558939
0.172998,26,39.881593
0.117418,25,40.215322
0.093914,25,40.902354
0.182126,25,41.240203
2.546475,46,41.646732
0.060438,22,42.060535
0.139156,25,42.740167
0.124626,24,43.061993
0.098026,24,43.367892
0.230366,28,43.717268
0.190403,29,44.434144
0.638709,31,44.785951
0.067687,23,45.137897
0.396796,28,45.487948
9.927459,51,46.265909
4.963577,50,46.786887
8.664769,53,47.311898
0.053677,22,47.734975
0.229937,28,48.483849
0.935026,35,48.878967
0.292965,26,49.241002
199.561777,127,49.887355
315.811026,160,51.437794
0.604181,39,52.361652
0.798523,43,52.824489
22.258114,84,53.448298
33.870815,88,54.656123
0.014006,19,55.236829
104.557013,121,55.853401
61.315679,89,56.788162
12.535077,69,58.087703
131.855808,131,58.933576
23.63785,179,60.231582
3.384733,54,61.296184
0.613324,31,62.121976
0.13041,28,62.503999
28.516126,65,62.98736
0.085733,26,63.494585
0.140984,28,64.215439
0.089015,28,64.567471
0.140199,28,64.917447
0.167204,27,65.269369
0.075247,26,65.962096
1.053408,42,66.358465
3.352296,49,66.850817
0.112648,25,67.27908
0.087306,26,67.991737
0.092216,28,68.330639
0.124778,25,68.680709
0.073939,24,68.990359
0.189099,25,69.675471
0.058726,25,70.017045
0.022993,23,70.332702
0.402191,28,70.682057
10.578242,63,71.540829
0.093541,25,72.023229
4.857056,54,72.455954
0.205135,27,72.908334
0.680594,32,73.633617
0.581238,31,74.005762
0.232347,28,74.377939
16.209054,59,74.840266
0.149364,26,75.724557
0.261695,29,76.076495
1.403557,38,76.449442
0.275482,29,76.851711
3.007388,41,77.706603
0.704512,36,78.1314
0.263701,30,78.523723
0.232544,30,78.89936
0.245021,29,79.729758
15.098767,64,80.204787
152.745124,110,80.980296
0.378461,31,81.693357
0.864461,36,82.549736
31.956555,61,83.03286
5.43928,48,83.596086
15.570252,63,84.14936
0.440229,33,85.106488
4.735901,47,85.54867
0.524368,35,86.010933
1.969,38,86.439069
105.832315,103,87.60303
60.064225,89,88.475801
0.484775,29,89.070639
111.469675,95,89.634183
15.569092,67,90.930577
1.353471,41,91.493528
185.87892,104,92.160565
17.058367,59,92.912571
3.78584,47,94.030725
76.723751,97,94.693901
6.742773,51,95.407022
1.95402,41,95.901607
18.0006,58,96.879252
366.100912,121,97.654809
8.232507,51,98.468351
7.257902,55,99.011363
23.145449,82,100.200417
0.00908,2002,108.316684
10.634113,51,116.828971
0.064949,2002,124.84652
0.000299,2002,141.337684
183.917637,93,150.012301
21.896602,96,150.887948
19.625747,77,151.712942
7.280696,54,152.960451
109.959804,90,153.626846
80.718361,99,154.462011
11.205087,55,155.213425
56.629444,88,156.424921
116.350672,96,157.239123
11.627449,66,158.001646
17.887826,73,158.686255
10.172815,54,159.867654
28.182898,70,160.459592
54.930046,82,161.16633
22.095933,77,161.890198
89.59229,93,163.198169
6.873322,56,163.92451
119.778957,83,164.578005
105.09612,86,165.332456
85.504915,109,166.762808
15.922719,59,167.564356
185.568881,109,168.321753
1.874364,73,169.176234
51.840796,76,170.537094
134.350537,98,171.301907
7.648111,53,172.036064
22.267231,68,172.637628
4.495507,46,173.79879
124.947726,94,174.453986
247.594269,111,175.348978
22.840979,69,176.163315
3.000477,2002,185.361002
146.030195,95,194.023497
77.489995,93,194.860073
358.524986,168,195.926575
540.878468,151,197.769594
0.0,2002,205.964063
130.240227,126,214.740018
173.616442,158,215.967407
921.777967,191,222.889659
37.073277,78,224.094893
4.364739,105,224.980523
23.860586,81,225.845528
35.75807,80,234.324771
0.0,2002,242.370456
0.0,2002,258.295838
0.00074,2002,274.827022
17.586186,2002,298.677314
0.311999,2002,315.516388
0.0,2002,331.76605
21.208985,104,340.38658
584.105678,450,343.418361
0.0,2002,353.048381
11.051272,100,361.766629
34.154471,76,362.584765
263.890151,117,364.025119
202.787522,251,365.537416
24.881227,70,366.94626
370.869791,126,367.807565
308.391086,138,376.727731
86.487388,105,377.788561
15.59128,79,378.626862
265.929982,131,379.527521
2.716711,81,381.078207
43.539111,74,381.815762
102.25859,97,382.585354
381.874529,138,383.577542
14.113933,64,385.405499
205.759755,125,386.211222
133.350355,101,387.159801
30.495555,69,387.93984
4002.313478,229,389.73897
344.663316,122,391.24073
1.112118,2002,399.287222
61.883824,91,407.825698
53.334553,91,409.256166
109.854263,80,410.014312
11.731576,101,410.87437
20.183678,67,411.662453
0.006428,2002,420.823695
31.923282,71,429.299922
2.610908,2002,437.450189
26.683536,63,445.895926
607.564583,179,447.575214
14.772968,2002,455.971455
551.694978,157,464.713502
259.822249,241,466.404373
3.707598,49,476.612225
0.707968,2002,485.059054
0.000817,2002,501.009428
251.273789,125,509.660915
2073.615168,574,513.151341
15.734501,2002,523.262141
0.0,2002,539.509632
0.563963,2002,555.713331
17.980491,69,564.803187
1854.058018,304,566.277902
83.970342,127,568.133137
2.166032,74,569.050719
169.785224,2002,577.774251
723.141382,212,586.792254
57.804381,86,588.071746
666.366198,219,589.299245
356.583762,193,598.674327
40.468019,112,599.974025
60.690344,346,602.007972
632.786759,219,604.329468
11.270649,92,606.29166
1.854251,2002,614.411633
128.837012,107,622.989031
171.361942,170,624.164037
4.272652,85,625.866751
1467.857919,395,627.756724
530.698591,195,630.158165
111.621265,112,631.490013
174.802555,290,633.8689
6269.652471,594,637.30946
0.279102,2002,647.388808
24.5539,79,655.878666
1020.01397,186,657.515025
129.883387,110,658.764838
21.128484,60,659.570292
2129.686607,262,660.850917
129.702927,95,662.992197
151.852384,93,663.830451
71.885437,96,664.657409
0.0,2002,673.063689
315.130024,129,682.316952
1018.529416,213,683.734904
292.689466,184,685.444351
58.68576,92,686.675127
333.94639,121,688.158627
797.035862,203,689.443696
476.858829,136,690.834342
48.52234,88,691.822093
6231.749468,644,702.545969
1189.139904,326,706.387296
33.807455,70,708.065902
9.959201,2002,716.073202
4.560866,2002,740.385833
7162.948389,495,750.363251
1081.930221,263,753.439754
24.583912,2002,762.411908
257.782742,181,779.374931
48.83538,559,782.576741
136.046941,681,787.913481
6.119477,2002,798.634249
155.224141,693,812.18405
0.631223,130,815.725828
103.39235,159,816.960585
1405.219366,263,818.672118
316.237235,154,821.736161
5.745922,2002,830.919336
2324.52045,252,840.454621
5.648953,2002,850.184448
59.910475,2002,876.763129
0.0,2002,893.977439
17.237306,82,902.492793
1050.722455,203,903.6784
0.0,2002,922.943997
20.805424,2002,939.493561
468.499562,127,948.524018
679.404588,124,949.724317
0.581049,2002,958.689876
27.771255,2002,975.054289
34.473265,153,984.294516
532.011801,159,985.609642
136.730842,107,987.349606
109.482509,141,988.407784
3.643363,2002,997.32515
199.407664,108,1006.030342
0.250407,2002,1015.171429
0.680261,2002,1031.487002
5.834312,2002,1047.760241
272.719785,2002,1065.022306
437.982362,2002,1082.296143
1e-06,2002,1099.55038
0.333385,2002,1115.593239
7760.770446,407,1125.499522
877.15507,235,1136.413946
126.73493,2002,1145.144302
51.618623,2002,1161.415359
0.000182,2002,1178.179267
37.802548,2002,1201.864578
0.0,2002,1218.77457
379.037972,158,1228.294485
0.459326,2002,1238.137669
33.197678,2002,1254.314096
0.984582,47,1262.691147
6.651212,2002,1270.371339
3.212208,2002,1286.240396
165.288175,142,1295.495038
6.368181,2002,1304.593718
33.496636,2002,1321.180607
5.560769,2002,1337.636836
3.219516,89,1346.912382
0.16958,74,1347.709258
0.894676,70,1348.459256
3322.245424,1282,1355.266618
1.782235,79,1361.789931
58.649302,235,1363.102432
5.143987,136,1364.719939
74.120609,2002,1373.356432
0.909436,2002,1398.081185
0.000484,2002,1414.465117
0.0,2002,1430.538818
2e-05,2002,1447.478669
20.773064,2002,1472.181711
17.535757,2002,1489.024394
0.976707,58,1497.464317
11.106242,144,1498.448692
2.38435,2002,1507.945995
5586.554173,480,1517.81679
262.453701,121,1520.301165
167.728182,109,1521.317409
