#{"t_start": 1645389438.6261501, "env_id": null}
r,l,t
0.067239,73,0.651699
0.00093,2002,13.38687
0.005466,15,21.874145
0.006746,15,22.116774
0.004469,15,22.382401
0.002423,14,22.960523
0.0,2002,27.875645
2e-05,2002,40.75793
0.000381,2002,53.582949
0.00402,2002,71.835601
0.007542,14,79.909185
0.004961,14,80.143566
0.003543,14,80.393565
0.003717,14,80.940439
0.005428,14,81.190444
0.00493,14,81.44044
0.005733,14,81.674815
0.005885,14,82.23049
0.004047,14,82.46486
0.004923,14,82.69923
0.00517,14,82.93361
0.005007,14,83.49611
0.005346,14,83.730491
0.00341,14,83.964861
0.003175,14,84.18361
0.00595,15,84.746112
0.007035,15,84.996109
0.00862,15,85.261739
0.005043,15,85.511737
0.006724,15,86.074237
0.007312,15,86.33986
0.007835,15,86.589869
0.00423,15,86.839876
0.005707,15,87.426142
0.005493,15,87.660518
0.006716,15,87.894893
0.006759,15,88.129271
0.005166,15,88.691766
0.004221,14,88.926143
0.005615,14,89.160517
0.004447,14,89.410516
0.007624,14,89.973018
0.003122,14,90.231339
0.002741,14,90.465708
0.004419,14,90.715713
0.003151,14,91.278216
0.003167,14,91.496964
0.003472,14,91.746964
0.003472,14,91.98134
0.003963,14,92.552122
0.002901,14,92.770866
0.002688,14,93.020871
0.002851,14,93.270867
0.003539,14,93.841655
0.003244,14,94.07603
0.004807,14,94.310407
0.003564,14,94.560406
0.006933,14,95.115425
0.003712,14,95.365392
0.00259,14,95.584141
0.004615,14,95.834142
0.004734,14,96.396673
0.00403,14,96.639345
0.002926,14,96.889339
0.005554,14,97.12372
0.005578,14,97.654964
0.006276,14,97.897772
0.004466,14,98.132151
0.003439,14,98.382146
0.005058,14,98.92653
0.003561,14,99.160904
0.003343,14,99.388062
0.007472,14,99.62244
0.005284,14,100.17017
0.003739,14,100.404551
0.004695,14,100.648008
0.003153,14,100.896051
0.006142,14,101.458552
0.003008,14,101.677301
0.003893,14,101.919988
0.006047,14,102.138743
0.005117,14,102.701243
0.003031,14,102.951239
0.004084,14,103.185613
0.00276,14,103.428297
0.002409,14,103.990788
0.002675,14,104.240793
0.003626,14,104.47517
0.004375,14,104.717894
0.005979,14,105.280373
0.006027,14,105.514746
0.004467,14,105.757367
0.003712,14,106.000192
0.003711,14,106.531451
0.003874,14,106.765826
0.003889,14,106.984576
0.006785,14,107.234575
0.002739,14,107.790352
0.003781,14,108.009103
0.004668,14,108.259103
0.004074,14,108.49348
0.004626,14,109.018005
0.004904,14,109.268005
0.006991,14,109.502381
0.003294,14,109.736755
0.005298,14,110.307457
0.003165,14,110.557457
0.003501,14,110.791832
0.004195,14,111.041832
0.006282,14,111.597573
0.006348,14,111.831948
0.003662,14,112.066324
0.004681,14,112.300699
0.003297,14,112.871602
0.003566,14,113.121567
0.004811,14,113.355943
0.004775,14,113.590317
0.006612,14,114.146901
0.003049,14,114.374366
0.003181,14,114.593116
0.003767,14,114.843116
0.004723,14,115.394203
0.005779,14,115.605746
0.003111,14,115.840121
0.004154,14,116.090121
0.002811,14,116.652658
0.003037,14,116.911633
0.003729,14,117.146045
0.002889,14,117.396047
0.004058,14,117.958545
0.004233,14,118.192922
0.004008,14,118.435623
0.003966,14,118.670002
0.004932,14,119.21687
0.003496,14,119.451246
0.002276,14,119.678354
0.004454,14,119.928355
0.004395,14,120.490855
0.005221,14,120.693978
0.00467,14,120.928361
0.002819,14,121.171653
0.002256,14,121.734154
0.003227,14,121.968532
0.003431,14,122.202907
0.003799,14,122.445966
0.005641,14,123.008462
0.002089,14,123.242837
0.004504,14,123.469765
0.004655,14,123.704144
0.006863,14,124.259365
0.004104,14,124.493741
0.006588,14,124.728115
0.003206,14,124.96249
0.003646,14,125.517664
0.002501,14,125.767664
0.003796,14,126.002038
0.00977,14,126.236414
0.005741,14,126.799972
0.003543,14,127.018751
0.006617,14,127.268722
0.004686,14,127.518722
0.003152,14,128.074582
0.002489,14,128.324582
0.003448,14,128.574582
0.004335,14,128.793333
0.00404,14,129.349017
0.005212,14,129.599017
0.005476,14,129.833392
0.004807,14,130.052173
0.006036,14,130.607925
0.004951,14,130.81105
0.004447,14,131.072184
0.006062,14,131.283399
0.0026,14,131.830274
0.002777,14,132.089015
0.002921,14,132.343539
0.003263,14,132.566428
0.004609,14,133.128927
0.003973,14,133.356414
0.006651,14,133.575164
0.002158,14,133.809539
0.005626,14,134.372039
0.002712,14,134.606414
0.006116,14,134.865149
0.005328,14,135.099557
0.002927,14,135.662024
0.003383,14,135.912024
0.004786,14,136.155245
0.002494,14,136.40528
0.003984,14,136.952151
0.003257,14,137.18653
0.002447,14,137.429328
0.003885,14,137.679326
0.004883,14,138.226201
0.003452,14,138.460576
0.006762,14,138.679328
0.002533,14,138.937586
0.004164,14,139.468835
0.004334,14,139.703212
0.003636,14,139.953209
0.003243,14,140.195896
0.00317,14,140.742768
0.00326,14,140.961518
0.003182,14,141.211519
0.002944,14,141.454309
0.003584,14,142.001179
0.003792,14,142.235555
0.005209,14,142.469929
0.002425,14,142.735559
0.006306,14,143.290724
0.005446,14,143.525101
0.004509,14,143.775103
0.004098,14,143.99385
0.004444,14,144.549067
0.005827,14,144.799068
0.004321,14,145.017822
0.003353,14,145.25951
0.005732,14,145.799071
0.004438,14,146.033453
0.002937,14,146.24565
0.0039,14,146.495625
0.004372,14,147.051266
0.003615,14,147.27874
0.003321,14,147.528741
0.005675,14,147.763116
0.003491,14,148.302807
0.003567,14,148.552807
0.0037,14,148.787182
0.006578,14,149.021559
0.005422,14,149.584057
0.002792,14,149.811681
0.003323,14,150.03043
0.004371,14,150.276066
0.005023,14,150.838566
0.004397,14,151.06578
0.005045,14,151.315777
0.00589,14,151.550152
0.002234,14,152.097027
0.003682,14,152.350666
0.003143,14,152.574588
0.005123,14,152.824588
0.003304,14,153.355839
0.003309,14,153.605839
0.003531,14,153.833439
0.002663,14,154.067814
0.002837,14,154.630314
0.005818,14,154.864689
0.01133,17,155.123624
0.008854,14,155.358
0.003047,14,155.9205
0.002869,14,156.1705
0.004522,14,156.42053
0.003364,14,156.647615
0.008612,14,157.194491
0.004221,14,157.413241
0.005276,14,157.647617
0.004143,14,157.890533
0.009248,14,158.468656
0.005207,14,158.703033
0.004095,14,158.937404
0.007792,14,159.180201
0.00282,14,159.71145
0.0045,14,159.961452
0.004886,14,160.202231
0.002756,14,160.452228
0.003289,14,161.007376
0.004897,14,161.25738
0.003403,14,161.497528
0.00322,14,161.731913
0.005456,14,162.287056
0.00364,14,162.537048
0.005695,14,162.787055
0.004367,14,163.021428
0.003908,14,163.576621
0.005771,14,163.82662
0.003862,14,164.060996
0.00392,14,164.295367
0.004019,14,164.850576
0.002799,14,165.084952
0.002961,14,165.3037
0.002562,14,165.553704
0.003954,14,166.108885
0.006034,14,166.343231
0.003445,14,166.577606
0.003025,14,166.827606
0.003909,14,167.383268
0.003434,14,167.617644
0.003568,14,167.867643
0.006602,14,168.086394
0.004402,14,168.648893
0.003159,14,168.89218
0.002936,14,169.126556
0.003815,14,169.360934
0.004943,14,169.923431
0.003708,14,170.166672
0.005615,14,170.416672
0.004518,14,170.651047
0.006151,14,171.197922
0.002651,14,171.441127
0.003741,14,171.675502
0.003257,14,171.909877
0.003725,14,172.472377
0.002391,14,172.706752
0.004616,14,172.934302
0.002418,14,173.153052
0.007011,14,173.699927
0.004512,14,173.949927
0.002985,14,174.193141
0.002695,14,174.44314
0.003192,14,174.990016
0.00374,14,175.230726
0.006405,14,175.4651
0.003385,14,175.676504
0.002479,14,176.239035
0.00375,14,176.489037
0.007049,14,176.707784
0.005419,14,176.934982
0.005061,14,177.497476
0.004062,14,177.716229
0.004622,14,177.966232
0.005409,14,178.200603
0.006384,14,178.755792
0.005444,14,179.005795
0.003742,14,179.255791
0.004983,14,179.490168
0.003121,14,180.04531
0.004145,14,180.27969
0.003636,14,180.514059
0.004128,14,180.764063
0.003631,14,181.303584
0.002471,14,181.537965
0.002913,14,181.772342
0.002051,14,182.022343
0.007535,14,182.577487
0.00415,14,182.811863
0.005406,14,183.030617
0.004005,14,183.280611
0.002967,14,183.851309
0.003253,14,184.070059
0.004528,14,184.304435
0.003712,14,184.554432
0.004759,14,185.094773
0.003238,14,185.327584
0.003177,14,185.561956
0.00539,14,185.796331
0.002684,14,186.358803
0.004601,14,186.586395
0.003031,14,186.836395
0.002591,14,187.07077
0.003261,14,187.633302
0.004,14,187.86022
0.003213,14,188.094595
0.003675,14,188.344595
0.00367,14,188.907095
0.00265,14,189.11022
0.009407,14,189.337837
0.00637,14,189.572212
0.003696,14,190.134713
0.003417,14,190.353462
0.003015,14,190.596349
0.00265,14,190.846349
0.002956,14,191.39322
0.003757,14,191.627594
0.004115,14,191.87549
0.004207,14,192.094243
0.006588,14,192.656744
0.005986,14,192.875494
0.00426,14,193.109869
0.004468,14,193.353038
0.004589,14,193.915539
0.00355,14,194.165539
0.005182,14,194.368663
0.004441,14,194.62764
0.003994,14,195.167288
0.003705,14,195.401631
0.0057,14,195.636005
0.003956,14,195.870381
0.004855,14,196.426045
0.002374,14,196.676046
0.004254,14,196.910423
0.002301,14,197.144794
0.004519,14,197.715566
0.004293,14,197.934336
0.003392,14,198.168716
0.003979,14,198.418717
0.003691,14,198.973906
0.003603,14,199.208284
0.003587,14,199.442666
0.007562,14,199.692668
0.004615,14,200.232829
0.005611,14,200.482826
0.003784,14,200.732825
0.007488,14,200.982824
0.004951,14,201.538011
0.003624,14,201.788014
0.003614,14,202.006763
0.006216,14,202.241138
0.004397,14,202.811999
0.005715,14,203.030751
0.003888,14,203.280754
0.004162,14,203.515124
0.0045,14,204.077631
0.003469,14,204.320333
0.003795,14,204.554707
0.003232,14,204.78908
0.002998,14,205.342692
0.005798,14,205.585105
0.008606,14,205.850733
0.003913,14,206.085103
0.003837,14,206.631952
0.002855,14,206.875225
0.002682,14,207.109607
0.005031,14,207.359607
0.003891,14,207.953356
0.002896,14,208.20336
0.004309,14,208.446683
0.006063,14,208.712308
1.119465,34,209.361787
0.064559,21,209.713855
0.068299,23,210.010731
5.833701,44,210.385729
0.011673,18,211.128462
0.620734,31,211.456586
0.057749,20,211.81596
0.018098,18,212.128461
0.012949,17,212.746058
0.0095,16,213.042934
0.006578,16,213.324183
0.007423,16,213.574183
0.006269,16,214.161134
0.004705,15,214.411133
0.005628,15,214.661133
0.00636,16,214.934788
0.00662,16,215.542261
0.010882,17,215.807884
0.012693,16,216.057886
0.007306,17,216.354765
0.024768,17,216.973095
0.023938,18,217.254372
0.009062,17,217.504367
0.007211,17,217.778161
0.015459,18,218.387535
0.014798,18,218.668784
0.016386,18,218.950032
0.016391,18,219.223921
0.022818,17,219.817671
0.014969,19,220.09892
0.059976,21,220.386878
0.022831,19,220.660835
0.01849,19,221.270206
0.045076,21,221.56709
0.084797,22,221.872157
0.262587,25,222.169215
0.0,2002,230.322318
0.296219,2002,248.662889
0.001083,2002,265.057745
0.0,2002,280.302934
0.0,2002,303.593343
1e-06,2002,316.447292
0.059295,196,325.605724
1.09532,2002,336.232389
1.116694,52,354.812726
0.164811,32,355.274105
0.249583,28,355.617855
7.631669,109,356.251665
0.15075,27,357.376665
0.292954,29,357.704787
0.342966,29,358.057383
0.479696,32,358.432383
1.091261,37,359.182382
0.099252,23,359.557383
1.121758,34,359.901133
0.03711,22,360.275151
0.286822,32,360.965013
0.031338,20,361.286218
0.884266,37,361.598719
0.127984,25,361.973719
1.159861,38,362.692469
0.075386,25,363.083126
0.372306,28,363.411247
0.687602,35,363.786257
1.580641,36,364.551876
0.048807,21,364.864375
1.448271,38,365.227959
0.267551,29,365.619726
0.575424,30,366.330998
1.056864,34,366.706002
0.579899,30,367.089199
0.320159,28,367.439118
1.402513,37,368.175681
2.283021,40,368.597561
3.828042,46,369.027849
0.073553,25,369.449723
10.735152,57,370.176786
1.62112,37,370.6675
0.153394,26,371.049538
0.179664,29,371.378747
1.497123,35,372.105823
4.037466,61,372.605829
1.792273,43,373.114135
2.805069,59,373.614135
133.560063,164,374.921058
0.416056,76,375.941615
0.057956,34,376.50412
0.701568,73,377.04428
2.022337,47,378.184902
4.947017,43,378.646298
3.334014,79,379.224424
69.245824,75,379.920733
0.442297,31,380.873888
0.36348,31,381.241553
0.714723,32,381.600928
3.079434,42,382.007178
1.690813,40,382.9066
0.352,32,383.312854
0.820216,36,383.687854
16.37558,63,384.180574
4.806711,43,385.118078
17.218443,52,385.578254
5.307553,47,386.07825
1.467612,35,386.523923
10.970055,55,387.398958
9.284866,51,387.922818
4.468869,95,388.59472
3.163887,89,389.408336
2.766297,63,390.502083
1.25217,40,391.025985
9.806586,77,391.557261
8.076966,57,392.174995
105.385005,169,393.495788
2.21601,47,394.511384
13.089658,81,395.097882
5.016412,56,395.754104
1.378566,41,396.684315
0.477064,32,397.074938
2.071167,43,397.505729
1.764261,41,397.958854
4.635069,50,398.889664
0.743702,35,399.342789
27.43848,63,399.788633
3.196203,43,400.317769
9.983331,53,401.192739
3.800936,43,401.669945
12.088637,60,402.169982
85.006556,79,402.81057
14.624286,58,403.850657
310.856384,99,404.523456
6.954859,53,405.219512
80.435595,98,405.88964
329.973713,263,407.632304
2.161706,63,408.992624
2.020271,54,409.539497
0.854794,46,410.047811
2.047253,53,411.140547
