#{}
epoch,num_iter_road_0,reward_road_0
0,280,8761.129
4,134,485.6936
8,91,386.9214
12,192,562.89594
16,2002,160.4758
20,491,7189.6533
24,2002,553.5793
28,2002,426.84177
32,2002,408.2648
36,2002,497.6826
40,2002,547.1234
44,2002,580.092
48,193,1089.2926
52,2002,450.75323
56,148,1071.4381
60,2002,122.55276
64,2002,114.59581
68,222,841.7951
72,2002,542.43066
76,181,1167.669
80,2002,576.821
84,332,8319.541
88,392,7783.6865
92,360,8110.1006
96,340,8272.412
100,303,8573.299
104,357,8124.426
108,308,8533.031
112,373,8027.494
116,322,8397.939
120,312,8500.964
124,428,7624.6597
128,338,8295.619
132,341,8272.2705
136,363,8103.1484
140,381,7953.6543
144,385,7937.7017
148,372,8035.0264
152,341,8272.268
156,352,8169.743
160,345,8241.241
