#{"t_start": 1645285214.583687, "env_id": null}
r,l,t
134.558323,183,2.130183
166.951525,155,6.263936
1166.564064,618,16.558429
0.01221,31,17.191309
334.534907,778,30.317768
13.216619,2002,65.17251
478.780776,266,69.601495
47.803507,92,71.265091
52.173252,155,73.941077
868.498224,292,89.277409
127.621389,301,94.469476
1205.446143,407,101.30647
0.270408,85,102.875868
4987.290043,495,113.213601
0.0,780,126.123439
-0.0,747,137.87017
303.561727,169,140.521233
0.000206,2002,175.456131
0.0,580,184.936918
2.02258,2002,215.689581
1.835353,2002,247.082549
233.540524,616,264.288306
11.372874,2002,290.225152
1414.839047,425,296.030697
5539.414924,773,306.728429
3299.935838,1359,335.533807
10.16094,1544,356.765739
1190.514999,674,365.593525
710.866092,178,367.965674
507.626462,198,372.293267
115.220287,123,373.960403
148.8829,968,386.996276
721.07585,296,390.98848
1.456452,2002,420.519351
5859.152025,710,429.667112
4402.284253,1030,443.218611
233.18763,132,444.992267
673.198419,414,451.066872
1780.438133,408,456.459176
145.721203,356,461.25527
45.510717,304,465.519549
75.555924,106,467.545047
0.397934,80,468.704221
0.737568,86,469.985375
679.921026,280,473.714793
3949.774025,1151,490.095597
72.249714,87,491.330158
5668.394442,749,501.008686
4304.054918,653,509.423421
5759.539056,731,519.525486
3393.18175,1114,534.642158
6016.819595,682,543.508793
6507.615512,598,551.221852
7011.449491,518,559.28515
5725.420857,735,568.569925
5309.903761,818,579.034813
6673.277352,570,586.238861
167.871122,2002,615.520992
0.000368,2002,639.359082
7182.967247,492,645.708498
1155.623251,2002,673.246981
6638.387513,577,681.411146
7196.346556,490,687.699611
6280.478178,634,695.913696
6738.962675,558,703.151282
7605.710613,430,709.350316
7017.377253,515,716.033779
6750.431871,556,723.249359
5879.320621,709,732.877968
6275.137627,638,742.508595
6321.524026,630,750.761659
7438.823277,452,756.679716
6170.114855,654,765.25243
6155.124287,659,775.185303
7123.090392,501,781.651645
6726.830188,560,788.903172
6774.74982,552,796.125263
6959.565707,526,804.215659
6675.32855,571,811.815494
62.109175,2002,836.764592
6583.389886,586,843.607409
6562.38255,587,851.824114
7532.639429,441,856.923725
6238.888558,644,864.41105
6675.32855,571,871.013365
5663.228631,750,881.130699
47.13183,2002,905.503458
6615.486095,578,912.20881
6098.85486,669,920.072252
6327.348462,629,928.529943
6869.761881,540,935.011925
6601.667458,583,941.8506
6954.197955,525,947.997302
6423.133844,611,956.289532
6998.439607,520,962.275513
6200.546729,651,969.79742
6259.567416,638,977.2662
6806.381691,550,985.038501
6133.271813,661,992.737423
5980.831887,688,1000.723737
6510.781218,597,1007.698162
7112.100327,502,1014.807951
6217.674047,648,1022.304096
6849.344767,543,1028.654056
6272.51287,638,1036.092164
6540.954852,593,1044.35788
6200.546729,651,1051.911233
5955.160752,695,1059.990918
5819.751032,720,1068.546364
6650.676573,575,1076.691907
7243.385426,483,1082.301828
8183.830403,352,1086.383699
6534.916917,594,1093.352352
7050.635629,512,1100.573363
5752.928996,730,1109.074142
5809.842042,722,1117.430498
6076.504172,673,1125.255115
7167.821049,493,1132.222762
7057.189541,511,1138.173082
6059.799729,676,1145.998068
6407.606417,615,1153.072308
6187.169139,653,1161.859333
5839.648228,714,1170.115341
6315.257841,629,1177.344027
6339.069891,625,1184.535091
6875.394663,536,1191.943561
6737.853822,560,1198.379121
6418.624764,613,1205.447313
6528.885016,595,1212.392264
7365.865376,465,1219.105799
5811.258246,721,1227.500756
6869.761881,540,1233.705132
7317.972141,472,1239.153116
6463.921513,603,1247.232542
6494.613992,598,1254.085137
6920.924353,532,1260.15149
6706.282513,566,1266.644422
6953.10937,527,1273.946694
6540.954852,593,1280.783766
7243.385426,483,1286.331296
7070.615582,508,1292.212845
6831.657736,546,1299.653048
6825.541628,546,1305.89537
374.705535,243,1308.78704
7070.317043,509,1314.657475
7156.28877,496,1321.536597
6656.830325,574,1328.130306
6820.973468,545,1334.35031
7414.095041,458,1339.634579
6967.864431,524,1346.981096
6895.291955,536,1353.143377
7149.635809,497,1358.877142
6774.928481,555,1365.250281
